actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year,is_cn,is_hk,is_tw,is_drama,is_comedy,is_action,is_romance,is_scifi,is_cartoon,is_mystery,is_thriller,is_horror,is_crime,is_homosexua,is_music,is_musical,is_biographical,is_historical,is_war,is_western,is_fantasy,is_adventure,is_disaster,is_sowordsmen,is_erotic,is_best,is_worst
"巩俐, 马精武, 何赛飞, 曹翠芬, 周琦, 孔琳, 金淑媛, 丁惟敏, 初晓",1991-09-10(威尼斯电影节/多伦多电影节),张艺谋,1293323,汉语普通话,8.4,110835.0,"中国大陆, 香港, 台湾",125.0,大红灯笼高高挂,"剧情, 爱情, 历史",1991,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"梁朝伟, 章子怡, 张震, 宋慧乔, 赵本山, 小沈阳, 王庆祥, 张晋, 卢海鹏, 冯克安, 刘家勇, 张智霖, 金士杰, 徐锦江, 刘洵, 尚铁龙, 罗莽, 吴廷烨","2013-01-08(中国大陆), 2015-01-08(中国大陆 3D), 2013-01-10(香港), 2013-08-23(美国)",王家卫,3821067,"汉语普通话 ,  粤语 ,  日语",7.8,325481.0,"中国大陆, 香港",111.0,一代宗师 一代宗師,剧情,2013,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"张家辉, 彭于晏, 李馨巧, 梅婷, 李菲儿, 安志杰, 高捷, 姜皓文, 刘畊宏, 王宝强","2013-08-16(中国大陆), 2013-06-18(上海国际电影节), 2013-08-15(香港)",林超贤,20388223,"粤语 ,  汉语普通话",7.8,118982.0,"香港, 中国大陆",121.0,激战 激戰,"剧情, 动作, 运动",2013,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"廖凡, 桂纶镁, 王学兵, 王景春, 余皑磊, 倪景阳, 常凯宁, 李彩霞, 李克伟, 洛成, 裴功勇, 彭龙, 于雪冬, 蒋延良","2014-03-21(中国大陆), 2014-02-12(柏林电影节)",刁亦男,21941804,汉语普通话,7.2,190605.0,中国大陆,106.0,白日焰火,"剧情, 悬疑, 犯罪",2014,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"周迅, 邓超, 张涵予, 王宝强, 王砚辉, 王柠, 颜北, 董琳达, 胡宝安",2008-09-19(中国大陆),曹保平,3230459,汉语普通话,7.8,185544.0,"中国大陆, 香港",96.0,李米的猜想,"剧情, 爱情, 犯罪",2008,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"张涵予, 梁家辉, 林更新, 余男, 佟丽娅, 韩庚, 陈晓, 谢苗, 吴旭东, 杜奕衡, 海一天, 张立, 释彦能, 孙蛟龙, 程思寒, 元武, 肖轶, 王尧, 杨一威",2014-12-23(中国大陆),徐克,10807909,"汉语普通话 ,  英语",7.7,237999.0,"中国大陆, 香港",141.0,智取威虎山,"动作, 战争, 冒险",2014,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"任素汐, 大力, 刘帅良, 裴魁山, 阿如那, 韩彦博, 卜冠今, 王堃, 高阳, 苏千越, 查尔斯·亚瑟, 王峰",2016-10-28(中国大陆),"周申, 刘露",25921812,汉语普通话,8.3,383549.0,中国大陆,111.0,驴得水,"剧情, 喜剧",2016,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"张涵予, 邓超, 袁文康, 汤嬿, 廖凡, 王宝强, 胡军, 任泉, 袁洪涛, 李晨, 李乃文, 胡明, 罗海琼",2007-12-20(中国大陆),冯小刚,1907464,汉语普通话,7.9,136084.0,"中国大陆, 香港",124.0,集结号,"剧情, 传记, 历史, 战争",2007,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"克里斯蒂安·贝尔, 倪妮, 张歆怡, 黄天元, 韩熙庭, 张逗逗, 佟大为, 曹可凡, 渡部笃郎, 黄海波, 窦骁, 聂远, 高虎, 秦昊, 李玥敏, 白雪, 袁杨纯子, 孙佳, 朱良奇, 小林成男, 山中崇, 保罗·施耐德, 李纯, 顾璇, 周梦乔, 周羽, 邓莉, 苏小妹, 钱柳吟, 叶清源, 戴瑶君, 沈俊然, 李楚楚, 金子欣, 李瑞琦, 谷艺璇, 许佳丽, 张照怡, 王靖雯, 谭逸敏, 赵伊聪, 来喜, 奇道, 王超北, 王羽铮, 李飞, 王聪, 项斌, 郭晓明, 涩谷天马, 梶冈润一","2011-12-15(中国大陆), 2011-12-23(美国)",张艺谋,3649049,"汉语普通话 ,  英语 ,  日语 ,  南京话 ,  上海话",8.0,355559.0,"中国大陆, 香港",145.0,金陵十三钗,"剧情, 历史, 战争",2011,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"赵涛, 韩三明, 王宏伟, 李竹斌, 项海渔, 周林, 马礼珍, 兰周, 李金生, 潘建林, 李永忠, 陈凯, 骆明望, 陈容虎, 江得平, 唐灵, 蒋世萍, 张勇, 田继全, 程建, 何忠明, 汪庆松, 汪建红, 刘昌桥, 朱记成, 方传安, 钱值贵, 谭长鑫, 兰天烟, 余代其, 麻祥, 柳萍, 李永虎, 李奉民, 李伦双, 李彬, 龙小茂, 杨圣桃, 杨隆珍, 张圣全, 张作平, 邹小平, 魏胜发, 吕强, 黄勇","2006-12-14(中国大陆), 2006-09-06(威尼斯电影节)",贾樟柯,1872133,"四川话 ,  晋语",8.1,59318.0,中国大陆,107.0,三峡好人,"剧情, 爱情",2006,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"汤姆·克鲁斯, 杰瑞米·雷纳, 西蒙·佩吉, 丽贝卡·弗格森, 文·瑞姆斯, 西恩·哈里斯, 西蒙·迈克伯尼, 张静初, 汤姆·霍兰德, 延斯·赫尔腾, 亚历克·鲍德温, 亚历克·乌特戈夫, 赫敏·科菲尔德, 阿美莉嘉·奥利沃, 拉斯科·阿特金斯, 肖恩·克罗宁, 明格斯·约翰斯顿","2015-09-08(中国大陆), 2015-07-31(美国)",克里斯托弗·麦奎里,10727641,"英语 ,  瑞典语 ,  德语",7.7,205287.0,"美国, 香港, 中国大陆",131.0,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,"动作, 惊悚, 冒险",2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"甄子丹, 王学圻, 梁家辉, 胡军, 王柏杰, 谢霆锋, 李宇春, 巴特尔, 黎明, 范冰冰, 曾志伟, 任达华, 周韵, 张涵予, 张学友, 李嘉欣, 吕中",2009-12-18(中国大陆/香港),陈德森,3626416,"汉语普通话 ,  粤语 ,  英语",7.7,232990.0,"香港, 中国大陆",139.0,十月围城,"剧情, 动作, 历史",2009,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"井柏然, 周冬雨, 田壮壮, 曲哲明, 刘启恒, 苏小明, 邹倚天, 张子贤, 施予斐, 李剑青",2018-04-28(中国大陆),刘若英,26683723,汉语普通话,5.9,199440.0,中国大陆,120.0,后来的我们,"剧情, 爱情",2018,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
